Date,Open,High,Low,Close,symbol,shortName,longName,financialCurrency,sector,currency,industry,country,market
2020-05-04 00:00:00,177.79836809231082,183.12249422215496,177.33668052301573,181.34451293945312,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-05-05 00:00:00,183.7216957451003,189.3798038838226,183.30912676519284,187.0222625732422,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-05-06 00:00:00,188.87884120919438,190.00849336201622,179.77281002497102,180.1853790283203,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-05-07 00:00:00,182.23841253064842,184.37002643963814,180.05768005458145,180.92210388183594,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-05-08 00:00:00,183.81011005442127,186.07924706035507,182.80816318743942,185.92208862304688,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-05-11 00:00:00,184.31108961081094,188.15191572725055,184.24232061932923,185.64703369140625,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-05-12 00:00:00,187.32677405228335,190.77469653161617,186.20693969726565,186.20693969726562,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-05-13 00:00:00,184.99870843143015,185.65685527315057,175.5193943937308,177.8081817626953,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-05-14 00:00:00,176.5017116186051,181.19717407226562,173.397618872523,181.19717407226562,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-05-15 00:00:00,180.42112561042143,187.04190956980565,180.01837435567307,186.7864990234375,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-05-18 00:00:00,191.78649149729952,192.72950208865737,189.939741188306,190.0870819091797,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-05-19 00:00:00,189.44857816978768,191.5310735519665,187.13032265440873,188.38768005371094,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-05-20 00:00:00,190.50947746168737,191.1086880219971,184.18338957615708,184.9397735595703,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-05-21 00:00:00,184.63526359589102,186.8650997574587,183.36807345317524,185.34251403808594,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-05-22 00:00:00,186.10873020466948,186.39359392438615,183.57436491549015,185.6568603515625,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-05-26 00:00:00,190.3326562401179,194.4976620765427,189.4485819535049,192.45445251464844,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-05-27 00:00:00,193.1617136388161,196.11846556512057,189.87096444402314,195.9318389892578,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-05-28 00:00:00,196.462292069812,201.37384937155733,196.03007262903708,197.022216796875,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-05-29 00:00:00,197.02222428147607,199.7726844838329,192.21870666856216,193.8297119140625,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-06-01 00:00:00,192.96526090798068,195.29333421512257,191.17744689959375,194.5959014892578,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-06-02 00:00:00,194.70394347415623,198.92787037906953,192.77860659156048,197.7490997314453,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-06-03 00:00:00,199.95929978650008,201.24612528109674,197.03201610506875,197.7982177734375,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-06-04 00:00:00,195.93184747727906,200.7844534264644,194.94953603196586,198.8100128173828,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-06-05 00:00:00,201.37383116165586,209.78241410364825,199.8119596782703,205.7745819091797,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-06-08 00:00:00,204.30112631369266,212.10068143935888,203.5545750254514,212.0220947265625,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-06-09 00:00:00,210.20483709262174,213.4562856636785,207.758876133632,210.705810546875,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-06-10 00:00:00,210.67632995563466,210.7057980989155,202.98482979279854,205.30308532714844,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-06-11 00:00:00,200.56835118870072,201.15774407342073,185.98103467515972,188.1715850830078,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-06-12 00:00:00,194.33067887710183,194.91023904399302,184.62543680858238,186.65882873535156,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-06-15 00:00:00,181.99284639395714,186.03996476830272,179.13431647939373,183.8199462890625,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-06-16 00:00:00,190.4210789622398,192.69021599426378,186.14801819544547,189.6057586669922,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-06-17 00:00:00,191.0792371110019,191.54092471495343,187.45450527903031,188.4073486328125,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-06-18 00:00:00,186.99280523620973,187.39555652161175,183.96728421984628,186.61952209472656,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-06-19 00:00:00,190.64700675976565,193.36801365524238,187.37590785413107,188.014404296875,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-06-22 00:00:00,186.9240317533582,189.0065421365533,183.85922494831232,187.012451171875,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-06-23 00:00:00,188.74130354570022,190.5585855518115,186.2855251530535,188.90829467773438,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-06-24 00:00:00,186.73739368623777,188.5841288323489,178.98695773198185,180.7158203125,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-06-25 00:00:00,179.86122102889922,182.67063219642486,177.85729740482464,182.19911193847656,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-06-26 00:00:00,181.64902180372763,182.3464694909714,179.2030610282688,181.7865447998047,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-06-29 00:00:00,183.3778770951465,184.43877516032717,180.4407757279573,184.2324981689453,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-06-30 00:00:00,184.21287692654232,185.4505840375473,181.0891335082937,184.33074951171875,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-07-01 00:00:00,184.63526090825945,188.94760743806535,184.16374063514922,187.1303253173828,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-07-02 00:00:00,188.56449757324617,191.0792122874653,186.72756511507853,187.12049865722656,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-07-06 00:00:00,188.40732840924113,189.38963980346148,185.6666712255922,185.98101806640625,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-07-07 00:00:00,183.6431236030656,184.87101292240794,178.31899731306314,178.82980346679688,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-07-08 00:00:00,179.25217941731907,181.26592077770584,174.0066401579002,176.89463806152344,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-07-09 00:00:00,176.3248781007852,177.13038056030956,168.73161595940405,170.8239288330078,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-07-10 00:00:00,171.26599854835266,172.93592493021345,167.768957374451,172.4349365234375,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-07-13 00:00:00,173.2306427620358,176.94377911312242,173.09311974862092,174.2325897216797,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-07-14 00:00:00,173.83966099687916,179.1637873335124,172.22867079534765,178.9476776123047,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
